代码,日期,5日收益,7日收益,15日收益,30日收益
600058,2001-11-08,-1.692047377326569,-2.0868584320361023,4.342921601804848,7.106598984771562
600058,2017-05-15,-0.24875621890548205,-5.0,-5.0,-5.0
600058,2018-06-26,1.70523751522532,-1.7052375152253416,0.24360535931789978,1.3398294762484704
600058,2018-10-19,3.5256410256410216,4.006410256410256,7.2115384615384635,7.2115384615384635
002284,2011-06-22,9.751243781094514,9.751243781094514,9.751243781094514,9.751243781094514
002284,2011-12-20,-5.0,-5.0,-5.0,-5.0
002284,2017-12-01,-5.0,-5.0,-5.0,-5.0
002284,2018-06-26,1.9264448336252245,0.3502626970227752,1.4010507880910694,6.129597197898418
600644,1998-08-14,-5.0,-5.0,-5.0,-5.0
600644,2008-08-15,-5.0,-5.0,-5.0,-5.0
688707,2022-08-30,-5.0,-5.0,-5.0,-5.0
688707,2023-04-27,-5.0,-5.0,-5.0,-5.0
688707,2023-05-11,0.0,0.6790123456790089,-5.0,-5.0
688707,2024-01-25,-5.0,-5.0,-5.0,-5.0
688707,2024-03-29,8.7557603686636,8.7557603686636,8.7557603686636,8.7557603686636
688707,2024-06-12,-0.8333333333333319,-5.0,-5.0,-5.0
000906,2005-07-07,-5.0,-5.0,-5.0,-5.0
000906,2005-07-21,15.04854368932039,15.04854368932039,15.04854368932039,15.04854368932039
000906,2010-07-06,6.473829201101937,6.473829201101937,6.473829201101937,6.473829201101937
000906,2010-07-07,5.745554035567727,5.745554035567727,5.745554035567727,5.745554035567727
000906,2012-08-03,3.511705685618728,-0.1672240802675698,-5.0,-5.0
000906,2013-07-01,4.157549234135656,4.157549234135656,4.157549234135656,4.157549234135656
000906,2017-04-26,-1.5957446808510702,-4.407294832826748,-5.0,-5.0
000906,2022-11-03,5.411764705882363,5.058823529411762,6.588235294117653,9.41176470588236
000906,2022-11-04,2.857142857142857,2.514285714285722,2.857142857142857,7.31428571428572
002196,2008-10-31,26.679462571976963,25.335892514395397,27.06333973128599,27.06333973128599
002196,2011-01-27,3.3274956217162943,6.260945709281961,10.726795096322238,10.726795096322238
002196,2014-12-25,-5.0,-5.0,-5.0,-5.0
002196,2014-12-26,-5.0,-5.0,-5.0,-5.0
002196,2017-01-20,0.6582040432534113,1.59849553361542,1.081335213916316,5.0305594734367665
002196,2017-06-29,11.681415929203526,10.353982300884955,10.353982300884955,10.353982300884955
002196,2017-11-28,-5.0,-5.0,-5.0,-5.0
002196,2018-10-19,3.8000000000000074,2.599999999999998,5.199999999999996,16.199999999999992
002196,2022-09-06,3.1026252983293525,-5.0,-5.0,-5.0
002088,2008-06-26,-5.0,-5.0,-5.0,-5.0
002088,2018-10-31,1.9750519750519884,0.623700623700629,5.925155925155928,-0.5197505197505087
002088,2022-11-02,3.9234919077979438,7.160372731731244,8.19028935752819,8.19028935752819
000582,2008-08-29,-5.0,-5.0,-5.0,-5.0
000582,2009-08-21,-5.0,-5.0,-5.0,-5.0
000582,2016-01-18,1.0942249240121564,-5.0,-5.0,-5.0
000582,2017-12-11,-2.119071644803238,-4.339051463168514,-5.0,-5.0
000582,2018-06-25,-0.9308510638297792,-1.0638297872340319,-5.0,-5.0
000582,2018-06-26,-0.660501981505954,-5.0,-5.0,-5.0
603739,2021-06-21,5.198019801980197,6.188118811881188,6.930693069306937,-5.0
603739,2022-04-29,3.735024665257231,3.735024665257231,3.735024665257231,3.735024665257231
002761,2019-02-11,8.451816745655611,6.872037914691936,6.872037914691936,6.872037914691936
002761,2022-08-08,-0.6751389992057115,0.794281175536137,-5.0,-5.0
002761,2022-08-09,0.8768433638899915,-1.0761259465922661,-5.0,-5.0
603823,2018-02-12,6.548933038999269,5.9602649006622554,11.405445180279623,8.388520971302432
600179,2002-11-27,1.6071428571428705,0.714285714285715,4.82142857142858,4.464285714285714
600179,2005-05-19,-5.0,-5.0,-5.0,-5.0
600179,2005-05-20,-5.0,-5.0,-5.0,-5.0
600179,2007-07-02,-5.0,-5.0,-5.0,-5.0
600179,2008-04-08,-5.0,-5.0,-5.0,-5.0
600179,2008-09-12,-5.0,-5.0,-5.0,-5.0
600179,2009-08-21,-5.0,-5.0,-5.0,-5.0
600179,2013-07-01,5.066079295154175,11.23348017621145,10.35242290748898,10.35242290748898
